step,value,wall_time
386914,2.3254778385162354,1788540607.414896
386915,2.304912567138672,1788540607.6071002
386916,2.3096213340759277,1788540607.7749872
386917,2.2529680728912354,1788540607.9366443
386918,2.301570415496826,1788540608.0976894
386919,2.3263967037200928,1788540608.2604537
386920,2.2861263751983643,1788540608.421439
386921,2.2043657302856445,1788540608.5812354
386922,2.3147971630096436,1788540608.7405238
386923,2.20780086517334,1788540608.9018633
386924,2.334787368774414,1788540609.0668662
386925,2.3138670921325684,1788540609.227471
386926,2.2520554065704346,1788540609.389216
386927,2.240166187286377,1788540609.5500042
386928,2.2590150833129883,1788540609.7128325
386929,2.2064006328582764,1788540609.8737247
386930,2.2799124717712402,1788540610.0393806
386931,2.1459906101226807,1788540610.2007906
386932,2.2717881202697754,1788540610.362231
386933,2.299381971359253,1788540610.5246701
386934,2.2527616024017334,1788540610.6868176
386935,2.2606327533721924,1788540610.850029
386936,2.24119234085083,1788540611.0121188
386937,2.2831151485443115,1788540611.1724734
386938,2.2656784057617188,1788540611.3337314
386939,2.3904659748077393,1788540611.4952922
386940,2.2401959896087646,1788540611.6564906
386941,2.3284342288970947,1788540611.815648
386942,2.2612271308898926,1788540611.9736764
386943,2.359785795211792,1788540612.1335266
386944,2.253924608230591,1788540612.2940469
386945,2.285252094268799,1788540612.4566503
386946,2.2939696311950684,1788540612.6185443
386947,2.337010383605957,1788540612.780469
386948,2.3130199909210205,1788540612.9419072
386949,2.2350924015045166,1788540613.10355
386950,2.261009693145752,1788540613.2664685
386951,2.2246944904327393,1788540613.4287941
386952,2.361806631088257,1788540613.5911348
386953,2.267930269241333,1788540613.7526753
386954,2.249471664428711,1788540613.9125104
386955,2.317938804626465,1788540614.0708272
386956,2.316936731338501,1788540614.2294316
386957,2.266918897628784,1788540614.3891098
386958,2.2958974838256836,1788540614.5422564
386959,2.284815549850464,1788540614.7007346
386960,2.2737772464752197,1788540614.8596334
386961,2.3205068111419678,1788540615.0216906
386962,2.2790160179138184,1788540615.1819184
386963,2.2923038005828857,1788540615.3432453
386964,2.255519151687622,1788540615.5051029
386965,2.3202497959136963,1788540615.666357
386966,2.304196834564209,1788540615.8272612
386967,2.2514090538024902,1788540615.9872155
386968,2.2829198837280273,1788540616.148533
386969,2.3129849433898926,1788540616.3086507
386970,2.293222665786743,1788540616.4679756
386971,2.2582759857177734,1788540616.626873
386972,2.304600715637207,1788540616.7870543
386973,2.1623222827911377,1788540616.9483314
386974,2.338275194168091,1788540617.1093035
386975,2.3237593173980713,1788540617.2703593
386976,2.2492446899414062,1788540617.430524
386977,2.2479164600372314,1788540617.5909798
386978,2.304020881652832,1788540617.749968
386979,2.308081865310669,1788540617.908897
386980,2.2821099758148193,1788540618.0702982
386981,2.261456251144409,1788540618.2311072
386982,2.2381742000579834,1788540618.3920767
386983,2.2635302543640137,1788540618.5546336
386984,2.231501340866089,1788540618.7158058
386985,2.289912462234497,1788540618.8762856
386986,2.2766940593719482,1788540619.0373814
386987,2.3051884174346924,1788540619.1985266
386988,2.221766233444214,1788540619.3599846
386989,2.2166526317596436,1788540619.519121
386990,2.2772223949432373,1788540619.677781
386991,2.2139196395874023,1788540619.8375602
386992,2.2609283924102783,1788540619.998908
386993,2.2462565898895264,1788540620.1602898
386994,2.2672178745269775,1788540620.3224106
386995,2.2456448078155518,1788540620.4853873
386996,2.258923292160034,1788540620.6486585
386997,2.2819488048553467,1788540620.8105123
386998,2.276566982269287,1788540620.972314
386999,2.3132872581481934,1788540621.1335127
387000,2.3699185848236084,1788540621.295176
387001,2.3042690753936768,1788540622.996407
387002,2.28678560256958,1788540623.1599047
387003,2.2484970092773438,1788540623.3207748
387004,2.2402241230010986,1788540623.4819286
387005,2.2903542518615723,1788540623.644326
387006,2.262816905975342,1788540623.8065858
387007,2.211146354675293,1788540623.9675987
387008,2.2735323905944824,1788540624.1298864
387009,2.2476954460144043,1788540624.2899685
387010,2.2732725143432617,1788540624.449932
387011,2.291753053665161,1788540624.6109853
387012,2.290956735610962,1788540624.7713804
387013,2.2659425735473633,1788540624.9323807
387014,2.3286519050598145,1788540625.0944512
387015,2.3034043312072754,1788540625.2556214
387016,2.277021646499634,1788540625.4174662
387017,2.2635605335235596,1788540625.580672
387018,2.34014892578125,1788540625.742461
387019,2.2150702476501465,1788540625.905287
387020,2.286435127258301,1788540626.068025
387021,2.3278887271881104,1788540626.2308495
387022,2.253805637359619,1788540626.3950217
387023,2.2745795249938965,1788540626.5563931
387024,2.278726577758789,1788540626.7173548
387025,2.2769522666931152,1788540626.8796606
387026,2.2702434062957764,1788540627.0409496
387027,2.238194704055786,1788540627.2023003
387028,2.2419686317443848,1788540627.3637047
387029,2.259838581085205,1788540627.5258682
387030,2.2845699787139893,1788540627.6881533
387031,2.311201810836792,1788540627.8500068
387032,2.2468128204345703,1788540628.0113292
387033,2.2550063133239746,1788540628.1666462
387034,2.2956671714782715,1788540628.3297722
387035,2.267317771911621,1788540628.4918222
387036,2.2147092819213867,1788540628.6542907
387037,2.285550355911255,1788540628.8168228
387038,2.2594423294067383,1788540628.9795132
387039,2.3566973209381104,1788540629.140571
387040,2.2208683490753174,1788540629.305087
387041,2.2289342880249023,1788540629.4673545
387042,2.3012869358062744,1788540629.6308155
387043,2.272378444671631,1788540629.7915857
387044,2.3457107543945312,1788540629.9533944
387045,2.293431282043457,1788540630.1161542
387046,2.2417125701904297,1788540630.2790663
387047,2.2601044178009033,1788540630.4414146
387048,2.2567150592803955,1788540630.6052685
387049,2.273442506790161,1788540630.7675993
387050,2.2835536003112793,1788540630.9302962
387051,2.3398189544677734,1788540631.0925293
387052,2.2692198753356934,1788540631.2554946
387053,2.2998299598693848,1788540631.4177942
387054,2.2991859912872314,1788540631.5803213
387055,2.261647939682007,1788540631.7424974
387056,2.3125991821289062,1788540631.9047575
387057,2.2814762592315674,1788540632.0673828
387058,2.2837767601013184,1788540632.2296252
387059,2.2767767906188965,1788540632.392437
387060,2.2184627056121826,1788540632.5558884
387061,2.2554492950439453,1788540632.7188127
387062,2.3578929901123047,1788540632.8810904
387063,2.2566897869110107,1788540633.0432703
387064,2.323542594909668,1788540633.2079947
387065,2.2906715869903564,1788540633.369518
387066,2.284693717956543,1788540633.5315487
